FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
72,PR,Puerto Rico,territory,2011,3678732,18660,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
78,VI,U.S. Virgin Islands,territory,2011,106405,37254,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
1,AL,Alabama,state,2012,4813946,41574,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
2,AK,Alaska,state,2012,730825,67712,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
4,AZ,Arizona,state,2012,6544211,47826,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
5,AR,Arkansas,state,2012,2949208,40112,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
6,CA,California,state,2012,38019006,58328,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
8,CO,Colorado,state,2012,5186330,56765,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
9,CT,Connecticut,state,2012,3597705,67276,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
10,DE,Delaware,state,2012,916868,58415,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
11,DC,District of Columbia,district,2012,635630,66583,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
12,FL,Florida,state,2012,19341327,45040,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
13,GA,Georgia,state,2012,9911171,47209,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
15,HI,Hawaii,state,2012,1392772,66259,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
16,ID,Idaho,state,2012,1594673,45489,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
17,IL,Illinois,state,2012,12878494,55137,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
18,IN,Indiana,state,2012,6535665,46974,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
19,IA,Iowa,state,2012,3074386,50957,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
20,KS,Kansas,state,2012,2885316,50241,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
21,KY,Kentucky,state,2012,4383673,41724,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
22,LA,Louisiana,state,2012,4602681,42944,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
23,ME,Maine,state,2012,1328101,46709,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
24,MD,Maryland,state,2012,5891680,71122,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
25,MA,Massachusetts,state,2012,6659627,65339,"U.S. Census Bureau, 2012 Population Estimate","U.S. Census Bureau, 2012 American Community Survey 1-Year Estimates"
